Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1",0,1,1,"1",1,6039,""
2,"2",0,2,1,"1",1,6039,""
3,"3",0,3,1,"1",1,6039,""
4,"4",0,4,1,"1",1,6039,""
5,"5",0,1,1,"1",1,19552,""
6,"6",0,2,1,"1",1,19552,""
7,"7",0,3,1,"1",1,19552,""
8,"8",0,4,1,"1",1,19552,""
9,"5",0,1,1,"1",1,17219,""
10,"6",0,2,1,"1",1,17219,""
11,"7",0,3,1,"1",1,17219,""
12,"8",0,4,1,"1",1,17219,""
13,"9",0,1,1,"1",1,17177,""
14,"10",0,2,1,"1",1,17177,""
15,"11",0,3,1,"1",1,17177,""
16,"12",0,4,1,"1",1,17177,""
17,"13",0,1,1,"1",1,17299,""
18,"14",0,2,1,"1",1,17299,""
19,"15",0,3,1,"1",1,17299,""
20,"16",0,4,1,"1",1,17299,""
21,"17",0,1,1,"1",1,17166,""
22,"18",0,2,1,"1",1,17166,""
23,"23",0,3,1,"1",1,17166,""
24,"24",0,4,1,"1",1,17166,""
25,"25",0,1,1,"1",1,17208,""
26,"26",0,2,1,"1",1,17208,""
27,"27",0,3,1,"1",1,17208,""
28,"28",0,4,1,"1",1,17208,""
29,"29",0,1,1,"1",1,17171,""
30,"30",0,2,1,"1",1,17171,""
31,"19",0,3,1,"1",1,17171,""
32,"20",0,4,1,"1",1,17171,""
33,"21",0,1,1,"1",1,17225,""
34,"30",0,2,1,"1",1,17225,""
35,"19",0,3,1,"1",1,17225,""
36,"20",0,4,1,"1",1,17225,""
