Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log
"Opens_T_Functional","Opens_T",7050,"",0,1,"@",1,"1",1,"<=",1,"","<=",1,"P",0.0408959,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003001,"",0,1,"A0",1,"1",-400,"<=",-12,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003002,"",0,1,"A10",1,"1",-400,"<=",-14,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003003,"",0,1,"A13",1,"1",-400,"<=",-15,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003004,"",0,1,"A14",1,"1",-400,"<=",-13,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003005,"",0,1,"A17",1,"1",-400,"<=",-15,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003006,"",0,1,"A19",1,"1",-400,"<=",-13,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003007,"",0,1,"A2",1,"1",-400,"<=",-14,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003008,"",0,1,"A4",1,"1",-400,"<=",-14,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003009,"",0,1,"A7",1,"1",-400,"<=",-12,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003010,"",0,1,"A9",1,"1",-400,"<=",-15,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003011,"",0,1,"C1",1,"1",-400,"<=",-15,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003012,"",0,1,"C10",1,"1",-400,"<=",-15,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003013,"",0,1,"C12",1,"1",-400,"<=",-15,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003014,"",0,1,"C14",1,"1",-400,"<=",-13,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003015,"",0,1,"C4",1,"1",-400,"<=",-13,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003016,"",0,1,"C5",1,"1",-400,"<=",-14,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003017,"",0,1,"C8",1,"1",-400,"<=",-13,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003018,"",0,1,"CLKOUT",1,"1",-400,"<=",-16,"nA","<=",400,"P",0.0323844,***,""
"EVENPINS_Shorts","EVENPINS_Shorts",14003019,"",0,1,"CLKR0",1,"1",-400,"<=",-14,"nA","<=",400,"P",0.0323844,***,""
