Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Opens_T_Functional","Opens_T",7050,"Parametric","",1,1,"",1,1,1,0,***,***,***,71,0,0,0.0373798,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003001,"Parametric","",-400,400,"nA",-15,-4,-10.4648,2.49474,52.0475,52.0475,54.844,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003002,"Parametric","",-400,400,"nA",-13,-3,-10.9437,2.18362,59.39,59.39,62.7312,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003003,"Parametric","",-400,400,"nA",-15,-5,-11.5211,2.26059,57.2828,57.2828,60.6805,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003004,"Parametric","",-400,400,"nA",-16,-3,-10.6056,2.92516,44.3731,44.3731,46.7902,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003005,"Parametric","",-400,400,"nA",-13,-4,-11.0423,2.26424,57.2611,57.2611,60.5123,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003006,"Parametric","",-400,400,"nA",-16,-4,-11.0423,2.67495,48.4692,48.4692,51.2213,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003007,"Parametric","",-400,400,"nA",-16,-5,-11.4789,2.40154,53.9266,53.9266,57.1131,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003008,"Parametric","",-400,400,"nA",-15,-3,-10.7746,2.90909,44.5988,44.5988,47.068,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003009,"Parametric","",-400,400,"nA",-16,-5,-11.2676,2.59647,49.9053,49.9053,52.7983,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003010,"Parametric","",-400,400,"nA",-16,-4,-11.4085,2.79069,46.4153,46.4153,49.1407,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003011,"Parametric","",-400,400,"nA",-17,-2,-10.8592,3.55888,36.4479,36.4479,38.4821,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003012,"Parametric","",-400,400,"nA",-15,-1,-11.8028,2.83156,45.6989,45.6989,48.4778,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003013,"Parametric","",-400,400,"nA",-14,-2,-10.662,2.62376,49.4632,49.4632,52.1722,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003014,"Parametric","",-400,400,"nA",-14,-4,-11.1127,2.50456,51.7572,51.7572,54.7151,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003015,"Parametric","",-400,400,"nA",-17,-4,-11.4366,2.90188,44.6335,44.6335,47.2609,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003016,"Parametric","",-400,400,"nA",-16,-4,-10.5915,2.78556,46.5984,46.5984,49.1333,71,0,0,0.0324082,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003017,"Parametric","",-400,400,"nA",-14,-4,-10.8592,2.24433,57.7961,57.7961,61.0218,71,0,0,0.0324082,***
