Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1",0,1,0,"1860",10,5290,""
2,"2",0,2,0,"1860",10,5290,""
3,"3",0,3,0,"14",8,5290,""
4,"4",0,4,0,"1860",10,5290,""
5,"1",0,1,0,"1860",10,16004,""
6,"2",0,2,0,"1860",10,16004,""
7,"3",0,3,0,"14",8,16004,""
8,"4",0,4,0,"1860",10,16004,""
9,"1",0,1,0,"1860",10,13552,""
10,"2",0,2,0,"1860",10,13552,""
11,"3",0,3,0,"14",8,13552,""
12,"4",0,4,0,"1860",10,13552,""
13,"1",0,1,0,"1860",10,14014,""
14,"2",0,2,0,"1860",10,14014,""
15,"3",0,3,0,"14",8,14014,""
16,"4",0,4,0,"1860",10,14014,""
17,"1",0,1,0,"1860",10,13495,""
18,"2",0,2,0,"1860",10,13495,""
19,"3",0,3,0,"14",8,13495,""
20,"4",0,4,0,"1860",10,13495,""
21,"3",0,1,0,"14",8,14760,""
22,"4",0,2,0,"1860",10,14760,""
23,"1",0,3,0,"1860",10,14760,""
24,"2",0,4,0,"14",8,14760,""
25,"3",0,1,0,"14",8,13667,""
26,"4",0,2,0,"1860",10,13667,""
27,"1",0,3,0,"1860",10,13667,""
28,"2",0,4,0,"14",8,13667,""
29,"3",0,1,0,"14",8,13436,""
30,"4",0,2,0,"1860",10,13436,""
31,"1",0,3,0,"1860",10,13436,""
32,"2",0,4,0,"14",8,13436,""
33,"3",0,1,0,"14",8,13413,""
34,"4",0,2,0,"1860",10,13413,""
35,"1",0,3,0,"1860",10,13413,""
36,"2",0,4,0,"14",8,13413,""
37,"3",0,1,0,"14",8,13607,""
38,"4",0,2,0,"1860",10,13607,""
39,"1",0,3,0,"1860",10,13607,""
40,"2",0,4,0,"14",8,13607,""
41,"5",0,1,0,"1860",10,14294,""
42,"6",0,2,0,"42",10,14294,""
43,"7",0,3,0,"14",8,14294,""
44,"8",0,4,0,"100",7,14294,""
45,"5",0,1,0,"1860",10,13292,""
46,"6",0,2,0,"42",10,13292,""
47,"7",0,3,0,"14",8,13292,""
48,"8",0,4,0,"100",7,13292,""
49,"5",0,1,0,"1860",10,13241,""
50,"6",0,2,0,"42",10,13241,""
51,"7",0,3,0,"14",8,13241,""
52,"8",0,4,0,"100",7,13241,""
53,"5",0,1,0,"1860",10,13327,""
54,"6",0,2,0,"42",10,13327,""
55,"7",0,3,0,"14",8,13327,""
56,"8",0,4,0,"100",7,13327,""
57,"5",0,1,0,"1860",10,13597,""
58,"6",0,2,0,"42",10,13597,""
59,"7",0,3,0,"14",8,13597,""
60,"8",0,4,0,"100",7,13597,""
61,"9",0,1,0,"14",8,13677,""
62,"6",0,2,0,"42",10,13677,""
63,"7",0,3,0,"14",8,13677,""
64,"8",0,4,0,"100",7,13677,""
65,"9",0,1,0,"14",8,1404,""
66,"6",0,2,0,"42",10,1404,""
67,"7",0,3,0,"14",8,1404,""
68,"8",0,4,0,"100",7,1404,""
69,"9",0,1,0,"14",8,1408,""
70,"6",0,2,0,"42",10,1408,""
71,"7",0,3,0,"14",8,1408,""
72,"8",0,4,0,"100",7,1408,""
73,"9",0,1,0,"14",8,1400,""
74,"6",0,2,0,"42",10,1400,""
75,"7",0,3,0,"14",8,1400,""
76,"8",0,4,0,"100",7,1400,""
77,"9",0,1,0,"14",8,1402,""
78,"6",0,2,0,"42",10,1402,""
79,"7",0,3,0,"14",8,1402,""
80,"8",0,4,0,"100",7,1402,""
